ingredients,glassType,alcoholic
"sprite, lime juice, vodka",Highball glass,Alcoholic
"vodka, tonic water, lemon peel",Highball glass,Alcoholic
"vodka, dry vermouth, olive",Cocktail glass,Alcoholic
"vodka, schweppes russchian",Collins Glass,Alcoholic
"dry vermouth, creme de cassis, carbonated water",Highball glass,Alcoholic
"vodka, lemon juice, grape juice, powdered sugar, orange",Collins glass,Alcoholic
"vodka, tonic water",Highball glass,Alcoholic
"apricot brandy, orange juice, orange bitters",Cocktail glass,Alcoholic
"scotch, wine",Collins Glass,Alcoholic
"gin, triple sec, lemon juice",Cocktail glass,Alcoholic
"red wine, lemon, orange juice, orange, pineapple juice",Collins Glass,Alcoholic
"red wine, lemon-lime soda, ice",Collins Glass,Optional alcohol
"tequila, campari, lime juice, orange juice, rosemary syrup, salt",Highball Glass,Alcoholic
"blended whiskey, lemon, powdered sugar, cherry, lemon",Old-fashioned glass,Alcoholic
"vodka, coffee liqueur, light cream",Old-fashioned glass,Alcoholic
"tequila, grapefruit juice, lime juice, agave syrup, pepper",Highball glass,Alcoholic
"lime, lemon, white wine, strawberries, apple, apple brandy, soda water",Pitcher,Alcoholic
"ice, tequila, cream of coconut, lime juice",Margarita/Coupette glass,Alcoholic
"triple sec, gin, pineapple juice",Cocktail glass,Alcoholic
"white rum, galliano, triple sec, lime juice",Cocktail glass,Alcoholic
"yoghurt, fruit, ice",Highball Glass,Non alcoholic
"sambuca, baileys irish cream, white creme de menthe",Coffee Mug,Alcoholic
"peachtree schnapps, surge",Highball glass,Alcoholic
"beer, root beer, lemonade, coca-cola, 7-up, creme de cassis, lemon",Beer pilsner,Alcoholic
"rum, gold rum, 151 proof rum, pernod, grenadine, lime juice, angostura bitters",Hurricane glass,Alcoholic
"sambuca, root beer, ice",Collins Glass,Alcoholic
"vodka, ouzo",Cocktail glass,Alcoholic
"jägermeister, root beer",Collins Glass,Alcoholic
"chambord raspberry liqueur, vodka, soda water",Whiskey sour glass,Alcoholic
"zima, chambord raspberry liqueur",Hurricane glass,Alcoholic
"cointreau, lemon juice, ice, lemon",Margarita/Coupette glass,Alcoholic
"midori melon liqueur, zima",Collins glass,Alcoholic
"amaretto, rum, kool-aid",Old-fashioned glass,Alcoholic
"vermouth, apple juice",Collins Glass,Alcoholic
